id,Nombre,codigo,localidad_id,active
155,EL NOGAL,008311,2,TRUE
905,CAMPIN,007201,13,TRUE
636,PROVIVIENDA ORIENTAL,004503,16,TRUE
1085,ARBORIZADORA ALTA I,002460,19,TRUE
1086,EL SATELITE,002545,19,TRUE
93,ACACIAS USAQUEN,008510,1,TRUE
94,PARAMO II RURAL,108112,1,TRUE
906,COLOMBIA,007303,12,TRUE
1027,MOCHUELO ALTO URBANO,204131,19,TRUE
1007,QUIROGA SUR,002204,18,TRUE
270,MONTEBELLO,001302,4,TRUE
156,SAN ISIDRO RURAL,208108,2,TRUE
694,PUENTE GRANDE,006418,9,TRUE
826,LAS VILLAS,009122,11,TRUE
501,LOS LAURELES,004575,7,TRUE
502,BOSA NOVA,004526,7,TRUE
598,EL VERGEL,006528,9,TRUE
599,EL TINTAL IV,006534,8,TRUE
845,LA GAITANA ORIENTAL,009262,11,TRUE
503,ISLANDIA,004642,7,TRUE
693,EL CHARCO,205402,9,TRUE
130,BELLAVISTA,008305,2,TRUE
160,EL REFUGIO II,201108,2,TRUE
600,TINTALA,006516,8,TRUE
699,CIUDAD BACHUE,005630,10,TRUE
907,LA PAZ,007310,12,TRUE
822,RINCON ALTAMAR,009266,11,TRUE
700,VILLAS DE ALCALA,005668,10,TRUE
701,BOCHICA II,005644,11,TRUE
36,PRADO VERANIEGO,009107,11,TRUE
846,VILLA MARIA,009209,11,TRUE
37,MOLINOS NORTE,008416,1,TRUE
824,ANDES NORTE,009127,11,TRUE
696,LA ESPERANZA SUR,006315,9,TRUE
1106,LAGUNITAS,204304,19,TRUE
406,MONTEBLANCO,002536,5,TRUE
601,OSORIO III,006518,8,TRUE
883,BENJAMIN HERRERA,007309,12,TRUE
704,LA FAENA,005666,10,TRUE
909,PABLO VI NORTE,005116,13,TRUE
293,PORTAL RURAL II,102506,5,TRUE
492,PARCELA EL PORVENIR,004630,7,TRUE
494,SAN BERNARDINO XXV,105325,7,TRUE
827,ALMIRANTE COLON,009218,11,TRUE
706,LAS FERIAS OCCIDENTAL,005405,10,TRUE
128,BOSQUE CALDERON,008207,2,TRUE
928,BELALCAZAR,007206,13,TRUE
707,BONANZA,005406,10,TRUE
644,EL REFUGIO,006419,9,TRUE
602,EL TINTAL III,006533,8,TRUE
133,EMAUS,008202,2,TRUE
885,BAQUERO,007306,13,TRUE
605,GALAN RURAL,205221,8,TRUE
929,PAULO VI,005113,13,TRUE
262,SURAMERICA,001407,4,TRUE
39,LA CALLEJA,008401,1,TRUE
713,BOYACA,005603,10,TRUE
40,SANTA ANA OCCIDENTAL,008414,1,FALSE
646,SAN PABLO JERICO,006413,9,TRUE
306,EL PORVENIR DE LOS SOCHES,102110,5,TRUE
41,SANTA BIBIANA,008412,1,TRUE
311,LA REQUILINA RURAL II,102604,5,TRUE
1126,RAIZAL,103205,20,TRUE
830,BOSQUES DE SAN JORGE,009241,11,TRUE
327,LA REQUILINA RURAL,102122,5,TRUE
348,TOCAIMITA ORIENTAL I,002622,5,TRUE
55,CHICO NORTE II SECTOR,008301,2,TRUE
